"Effect.Measure.v.descriptive","PMID","First.Author","Published","Year.Published","Include.area","Study.Funding.source.s.","Possible.Conflict.of.interest.for.study.authors","Study.purpose","Study.type","Vaccine.type","Vaccine.strategy","Number.doses.MVA.BN","Subcutaneous.or.intradermal.MVA.BN","Intervention.status","Dates.of.Outbreak","Country.of.outbreak","Population.description","Inclusion.Criteria","Exclusion.Criteria","Total.cohort.size.or.close.contact.pool","Case.report.forms.Complete.information..n.","Total.Cases.in.case.control","Total.control.in.case.control","loss.to.follow.up","Total.number.vaccinated.people","Historic.smallpox","PEP.or...14.days.after.1.dose","..1.dose.MVA.BN.vaccine.or.partially.vaccinated","..2.dose.MVA.BN.vaccine.or.fully.vaccinated","Subcutaneous","Intradermal","heterologous","Total.number.unvaccinated.people","unknown.vaccine.status","Episodes.outbreaks","Total.mpox.Cases","Total.vaccinated.mpox.cases","Total.vaccinated.mpox.historic.1st.gen.cases","Total.vaccinated.mpox.historic.2nd.gen.cases","Total.vaccinated.mpox.PEP.cases","Total.vaccinated.mpox.non.PEP.1.dose.cases","Total.vaccinated.mpox.2.dose","Total.unvaccinated.mpox.cases","Total.vaccinated.mpox.controls","Total.unvaccinated.mpox.controls","Notes.N","Measure..HR..IRR..RR..cumulative.incidence..attack.rate.etc.","..95..CI...67","Effect.measure","Dose","Adjusted","VE.type","Sensitivity","VE.outcome","Lower.CI","Upper.CI","Central.Effect.Estimate.reported","Effect.Est.lower.95.CI","Effect.Est.upper.95.CI","Regression.Coefficient","Regression.Coefficient.lower.95..CI","Regression.Coefficient.upper.95..CI","Vaccinated.secondary.cases","Unvaccinated.secondary.cases","Vaccinated.Contacts","Unvaccinated.Contacts","Vaccinated.or.cases.event","n.vaccinated.or.cases","unvaccinated..or.controls.event","n.unvaccinated.or.controls","unknown.or.missing.event.vaccinated","unknown.or.missing.total.n","Person.days.vaccinated","events.vaccinated","Person.days.unvaccinated","events.unvaccinated","crude.VE","..95..CI...97","Mean.vaccinated","sd.vaccinated","Mean.unvaccinated","sd.unvaccinated","Median.vaccinated","Lower.IQR.vaccinated","Upper.IQR.vaccinated","Median.unvaccinated","Lower.IQR.unvaccinated","Upper.IQR.unvaccinated","Controlled.for","Timing.of.measure","Cohort.Age...median.or.description.","Cohort.IQR.Age.lower","Cohort.IQR.Age.higher","Cohort.age.mean","Cohort.age.sd","Cohort.vaccinated.age.median","Cohort.unvaccinated.age.median","Cohort.unvaccinated.age.IQR","Cohort.unvaccinated.age.mean","Cohort.unvaccinated.age.sd","Cohort.age.unvaccinated..median","Cohort.age.unvaccinated.IQR","Cohort.age.vaccinated..mean","Cohort.age.vaccinated.sd","Monkeypox.cases.Age...median.","Monkeypox.cases.IQR.Age.lower","Monkeypox.cases.IQR.Age.higher","Monkeypox.controls.Age...median.","Monkeypox.controls.IQR.Age.lower","Monkeypox.controls.IQR.Age.higher","Cohort.cis.male.n","vaccinated..Male.n","unvaccinated..Male.n","cohort.MSM.n","vaccinated..MSM.n","unvaccinated.MSM.n","Monkeypox.cases.vaccinated.MSM.n","Monkeypox.cases.unvaccinated.MSM.n","Monkeypox.cases.vaccinated.non.MSM.n","Monkeypox.cases.unvaccinated.non.MSM.n","n.Non.Hispanic.White","Hispanic.Latino.n","Black.n....presumed","n.Known.HIV.status","n.HIV.positive","n.HIV.positive.vaccinated","n.HIV.positive.unvaccinated","n.CD4..200","n.VL...200","n.VL..50","n.PrEP.users","n.PrEP.users.vaccinated","n.PrEP.users.unvaccinated","n.Known.Hospital.status","n.Hospitalized","n.Hospitalized.vaccinated","n.Hospitalized.unvaccinated","n.not.hospitalized.vaccinated","n.not.hospitalized.unvaccinated","Limitations","...682","Internal.notes.for.coding"
"52","36580416","Farrar","MMWR",2022,"Severity","CDC","not noted","To assess differences in illness among vaccinated and unvaccinated persons with mpox","Cross Sectional","MVA-BN","PEP, vaccination prior to exposure","1","Subcutaneous and intradermal",NA,"May 22 - Sept 3 2022","USA","US population at risk for mpox"," Probable and confirmed mpox cases among persons with illness onset during May 22–September 3, 2022, in the 29 jurisdictions, vaccination >= 14 days before illness onset","1) No vaccination date or vaccination status available 2) receipt of vaccine before may 2022, 3) illness <= 13 days after vaccine dose","6605",6605,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,6329,NA,"1","6605","276",NA,NA,NA,NA,NA,"6329",NA,NA,NA,"OR",95,"VE","1","N","MVA-BN Conjunctivitis","N","0.43000000000000005","-0.57627118644067798","0.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,"148",2703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=14 days after MVA-BN vaccine","36 vaccinated, 34 unvaccinated",NA,NA,NA,NA,NA,"34",NA,"35.299999999999997",NA,"36.9",NA,"36.9",NA,NA,NA,NA,NA,NA,NA,"6203, (402 missing)","259",5710,NA,NA,NA,NA,NA,NA,NA,NA,"64 vaccinated, 1,880 unvaccinated, 177 missing","33 vaccinated, 1,901 unvaccinated, 199 missing",NA,NA,"19/78, 137 unknown","1074/2585, 3,099 unknown",NA,NA,NA,NA,NA,NA,"3237","2/95 vaccinated, 237.3,142 unvaccinated",NA,NA,NA,NA,NA,NA,NA
"53","36580416","Farrar","MMWR",2022,"Severity","CDC","not noted","To assess differences in illness among vaccinated and unvaccinated persons with mpox","Cross Sectional","MVA-BN","PEP, vaccination prior to exposure","1","Subcutaneous and intradermal",NA,"May 22 - Sept 3 2022","USA","US population at risk for mpox"," Probable and confirmed mpox cases among persons with illness onset during May 22–September 3, 2022, in the 29 jurisdictions, vaccination >= 14 days before illness onset","1) No vaccination date or vaccination status available 2) receipt of vaccine before may 2022, 3) illness <= 13 days after vaccine dose","6605",6605,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,6329,NA,"1","6605","276",NA,NA,NA,NA,NA,"6329",NA,NA,NA,"OR",95,"VE","1","N","MVA-BN Proctitis","N","0.18999999999999995","-0.20634920634920639","0.56000000000000005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,187,"360",4983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=14 days after MVA-BN vaccine","36 vaccinated, 34 unvaccinated",NA,NA,NA,NA,NA,"34",NA,"35.299999999999997",NA,"36.9",NA,"36.9",NA,NA,NA,NA,NA,NA,NA,"6203, (402 missing)","259",5710,NA,NA,NA,NA,NA,NA,NA,NA,"64 vaccinated, 1,880 unvaccinated, 177 missing","33 vaccinated, 1,901 unvaccinated, 199 missing",NA,NA,"19/78, 137 unknown","1074/2585, 3,099 unknown",NA,NA,NA,NA,NA,NA,"3237","2/95 vaccinated, 237.3,142 unvaccinated",NA,NA,NA,NA,NA,NA,NA
"54","36580416","Farrar","MMWR",2022,"Severity","CDC","not noted","To assess differences in illness among vaccinated and unvaccinated persons with mpox","Cross Sectional","MVA-BN","PEP, vaccination prior to exposure","1","Subcutaneous and intradermal",NA,"May 22 - Sept 3 2022","USA","US population at risk for mpox"," Probable and confirmed mpox cases among persons with illness onset during May 22–September 3, 2022, in the 29 jurisdictions, vaccination >= 14 days before illness onset","1) No vaccination date or vaccination status available 2) receipt of vaccine before may 2022, 3) illness <= 13 days after vaccine dose","6605",6605,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,6329,NA,"1","6605","276",NA,NA,NA,NA,NA,"6329",NA,NA,NA,"OR",95,"VE","1","N","MVA-BN Pruritus","N","6.9999999999999951E-2","-0.33333333333333337","0.31999999999999995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,194,"1840",5193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=14 days after MVA-BN vaccine","36 vaccinated, 34 unvaccinated",NA,NA,NA,NA,NA,"34",NA,"35.299999999999997",NA,"36.9",NA,"36.9",NA,NA,NA,NA,NA,NA,NA,"6203, (402 missing)","259",5710,NA,NA,NA,NA,NA,NA,NA,NA,"64 vaccinated, 1,880 unvaccinated, 177 missing","33 vaccinated, 1,901 unvaccinated, 199 missing",NA,NA,"19/78, 137 unknown","1074/2585, 3,099 unknown",NA,NA,NA,NA,NA,NA,"3237","2/95 vaccinated, 237.3,142 unvaccinated",NA,NA,NA,NA,NA,NA,NA
"55","36580416","Farrar","MMWR",2022,"Severity","CDC","not noted","To assess differences in illness among vaccinated and unvaccinated persons with mpox","Cross Sectional","MVA-BN","PEP, vaccination prior to exposure","1","Subcutaneous and intradermal",NA,"May 22 - Sept 3 2022","USA","US population at risk for mpox"," Probable and confirmed mpox cases among persons with illness onset during May 22–September 3, 2022, in the 29 jurisdictions, vaccination >= 14 days before illness onset","1) No vaccination date or vaccination status available 2) receipt of vaccine before may 2022, 3) illness <= 13 days after vaccine dose","6605",6605,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,6329,NA,"1","6605","276",NA,NA,NA,NA,NA,"6329",NA,NA,NA,"OR",95,"VE","1","N","MVA-BN Pus in Stool","N","0.44999999999999996","1.0000000000000009E-2","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,191,"558",5169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=14 days after MVA-BN vaccine","36 vaccinated, 34 unvaccinated",NA,NA,NA,NA,NA,"34",NA,"35.299999999999997",NA,"36.9",NA,"36.9",NA,NA,NA,NA,NA,NA,NA,"6203, (402 missing)","259",5710,NA,NA,NA,NA,NA,NA,NA,NA,"64 vaccinated, 1,880 unvaccinated, 177 missing","33 vaccinated, 1,901 unvaccinated, 199 missing",NA,NA,"19/78, 137 unknown","1074/2585, 3,099 unknown",NA,NA,NA,NA,NA,NA,"3237","2/95 vaccinated, 237.3,142 unvaccinated",NA,NA,NA,NA,NA,NA,NA
"56","36580416","Farrar","MMWR",2022,"Severity","CDC","not noted","To assess differences in illness among vaccinated and unvaccinated persons with mpox","Cross Sectional","MVA-BN","PEP, vaccination prior to exposure","1","Subcutaneous and intradermal",NA,"May 22 - Sept 3 2022","USA","US population at risk for mpox"," Probable and confirmed mpox cases among persons with illness onset during May 22–September 3, 2022, in the 29 jurisdictions, vaccination >= 14 days before illness onset","1) No vaccination date or vaccination status available 2) receipt of vaccine before may 2022, 3) illness <= 13 days after vaccine dose","6605",6605,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,6329,NA,"1","6605","276",NA,NA,NA,NA,NA,"6329",NA,NA,NA,"OR",95,"VE","1","N","MVA-BN Rectal bleeding","N","0.37","-3.8461538461538547E-2","0.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,193,"684",5182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=14 days after MVA-BN vaccine","36 vaccinated, 34 unvaccinated",NA,NA,NA,NA,NA,"34",NA,"35.299999999999997",NA,"36.9",NA,"36.9",NA,NA,NA,NA,NA,NA,NA,"6203, (402 missing)","259",5710,NA,NA,NA,NA,NA,NA,NA,NA,"64 vaccinated, 1,880 unvaccinated, 177 missing","33 vaccinated, 1,901 unvaccinated, 199 missing",NA,NA,"19/78, 137 unknown","1074/2585, 3,099 unknown",NA,NA,NA,NA,NA,NA,"3237","2/95 vaccinated, 237.3,142 unvaccinated",NA,NA,NA,NA,NA,NA,NA
"57","36580416","Farrar","MMWR",2022,"Severity","CDC","not noted","To assess differences in illness among vaccinated and unvaccinated persons with mpox","Cross Sectional","MVA-BN","PEP, vaccination prior to exposure","1","Subcutaneous and intradermal",NA,"May 22 - Sept 3 2022","USA","US population at risk for mpox"," Probable and confirmed mpox cases among persons with illness onset during May 22–September 3, 2022, in the 29 jurisdictions, vaccination >= 14 days before illness onset","1) No vaccination date or vaccination status available 2) receipt of vaccine before may 2022, 3) illness <= 13 days after vaccine dose","6605",6605,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,6329,NA,"1","6605","276",NA,NA,NA,NA,NA,"6329",NA,NA,NA,"OR",95,"VE","1","N","MVA-BN Rectal pain","N","0.22999999999999998","-9.0909090909090939E-2","0.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,194,"1255",5211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=14 days after MVA-BN vaccine","36 vaccinated, 34 unvaccinated",NA,NA,NA,NA,NA,"34",NA,"35.299999999999997",NA,"36.9",NA,"36.9",NA,NA,NA,NA,NA,NA,NA,"6203, (402 missing)","259",5710,NA,NA,NA,NA,NA,NA,NA,NA,"64 vaccinated, 1,880 unvaccinated, 177 missing","33 vaccinated, 1,901 unvaccinated, 199 missing",NA,NA,"19/78, 137 unknown","1074/2585, 3,099 unknown",NA,NA,NA,NA,NA,NA,"3237","2/95 vaccinated, 237.3,142 unvaccinated",NA,NA,NA,NA,NA,NA,NA
"58","36580416","Farrar","MMWR",2022,"Severity","CDC","not noted","To assess differences in illness among vaccinated and unvaccinated persons with mpox","Cross Sectional","MVA-BN","PEP, vaccination prior to exposure","1","Subcutaneous and intradermal",NA,"May 22 - Sept 3 2022","USA","US population at risk for mpox"," Probable and confirmed mpox cases among persons with illness onset during May 22–September 3, 2022, in the 29 jurisdictions, vaccination >= 14 days before illness onset","1) No vaccination date or vaccination status available 2) receipt of vaccine before may 2022, 3) illness <= 13 days after vaccine dose","6605",6605,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,6329,NA,"1","6605","276",NA,NA,NA,NA,NA,"6329",NA,NA,NA,"OR",95,"VE","1","N","MVA-BN Tenesmus","N","0.26","-0.19354838709677413","0.56000000000000005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,190,"573",5164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=14 days after MVA-BN vaccine","36 vaccinated, 34 unvaccinated",NA,NA,NA,NA,NA,"34",NA,"35.299999999999997",NA,"36.9",NA,"36.9",NA,NA,NA,NA,NA,NA,NA,"6203, (402 missing)","259",5710,NA,NA,NA,NA,NA,NA,NA,NA,"64 vaccinated, 1,880 unvaccinated, 177 missing","33 vaccinated, 1,901 unvaccinated, 199 missing",NA,NA,"19/78, 137 unknown","1074/2585, 3,099 unknown",NA,NA,NA,NA,NA,NA,"3237","2/95 vaccinated, 237.3,142 unvaccinated",NA,NA,NA,NA,NA,NA,NA
"59","36580416","Farrar","MMWR",2022,"Severity","CDC","not noted","To assess differences in illness among vaccinated and unvaccinated persons with mpox","Cross Sectional","MVA-BN","PEP, vaccination prior to exposure","1","Subcutaneous and intradermal",NA,"May 22 - Sept 3 2022","USA","US population at risk for mpox"," Probable and confirmed mpox cases among persons with illness onset during May 22–September 3, 2022, in the 29 jurisdictions, vaccination >= 14 days before illness onset","1) No vaccination date or vaccination status available 2) receipt of vaccine before may 2022, 3) illness <= 13 days after vaccine dose","6605",6605,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,6329,NA,"1","6605","276",NA,NA,NA,NA,NA,"6329",NA,NA,NA,"OR",95,"VE","1","N","MVA-BN Rash Facial","N","0.61","0.41000000000000003","0.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,160,"1386",4140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=14 days after MVA-BN vaccine","36 vaccinated, 34 unvaccinated",NA,NA,NA,NA,NA,"34",NA,"35.299999999999997",NA,"36.9",NA,"36.9",NA,NA,NA,NA,NA,NA,NA,"6203, (402 missing)","259",5710,NA,NA,NA,NA,NA,NA,NA,NA,"64 vaccinated, 1,880 unvaccinated, 177 missing","33 vaccinated, 1,901 unvaccinated, 199 missing",NA,NA,"19/78, 137 unknown","1074/2585, 3,099 unknown",NA,NA,NA,NA,NA,NA,"3237","2/95 vaccinated, 237.3,142 unvaccinated",NA,NA,NA,NA,NA,NA,NA
"60","36580416","Farrar","MMWR",2022,"Severity","CDC","not noted","To assess differences in illness among vaccinated and unvaccinated persons with mpox","Cross Sectional","MVA-BN","PEP, vaccination prior to exposure","1","Subcutaneous and intradermal",NA,"May 22 - Sept 3 2022","USA","US population at risk for mpox"," Probable and confirmed mpox cases among persons with illness onset during May 22–September 3, 2022, in the 29 jurisdictions, vaccination >= 14 days before illness onset","1) No vaccination date or vaccination status available 2) receipt of vaccine before may 2022, 3) illness <= 13 days after vaccine dose","6605",6605,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,6329,NA,"1","6605","276",NA,NA,NA,NA,NA,"6329",NA,NA,NA,"OR",95,"VE","1","N","MVA-BN Rash Head","N","0.59000000000000008","0.38","0.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,160,"1376",4140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=14 days after MVA-BN vaccine","36 vaccinated, 34 unvaccinated",NA,NA,NA,NA,NA,"34",NA,"35.299999999999997",NA,"36.9",NA,"36.9",NA,NA,NA,NA,NA,NA,NA,"6203, (402 missing)","259",5710,NA,NA,NA,NA,NA,NA,NA,NA,"64 vaccinated, 1,880 unvaccinated, 177 missing","33 vaccinated, 1,901 unvaccinated, 199 missing",NA,NA,"19/78, 137 unknown","1074/2585, 3,099 unknown",NA,NA,NA,NA,NA,NA,"3237","2/95 vaccinated, 237.3,142 unvaccinated",NA,NA,NA,NA,NA,NA,NA
"61","36580416","Farrar","MMWR",2022,"Severity","CDC","not noted","To assess differences in illness among vaccinated and unvaccinated persons with mpox","Cross Sectional","MVA-BN","PEP, vaccination prior to exposure","1","Subcutaneous and intradermal",NA,"May 22 - Sept 3 2022","USA","US population at risk for mpox"," Probable and confirmed mpox cases among persons with illness onset during May 22–September 3, 2022, in the 29 jurisdictions, vaccination >= 14 days before illness onset","1) No vaccination date or vaccination status available 2) receipt of vaccine before may 2022, 3) illness <= 13 days after vaccine dose","6605",6605,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,6329,NA,"1","6605","276",NA,NA,NA,NA,NA,"6329",NA,NA,NA,"OR",95,"VE","1","N","MVA-BN Rash Mouth","N","0.57000000000000006","7.999999999999996E-2","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,160,"400",4140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=14 days after MVA-BN vaccine","36 vaccinated, 34 unvaccinated",NA,NA,NA,NA,NA,"34",NA,"35.299999999999997",NA,"36.9",NA,"36.9",NA,NA,NA,NA,NA,NA,NA,"6203, (402 missing)","259",5710,NA,NA,NA,NA,NA,NA,NA,NA,"64 vaccinated, 1,880 unvaccinated, 177 missing","33 vaccinated, 1,901 unvaccinated, 199 missing",NA,NA,"19/78, 137 unknown","1074/2585, 3,099 unknown",NA,NA,NA,NA,NA,NA,"3237","2/95 vaccinated, 237.3,142 unvaccinated",NA,NA,NA,NA,NA,NA,NA
"62","36580416","Farrar","MMWR",2022,"Severity","CDC","not noted","To assess differences in illness among vaccinated and unvaccinated persons with mpox","Cross Sectional","MVA-BN","PEP, vaccination prior to exposure","1","Subcutaneous and intradermal",NA,"May 22 - Sept 3 2022","USA","US population at risk for mpox"," Probable and confirmed mpox cases among persons with illness onset during May 22–September 3, 2022, in the 29 jurisdictions, vaccination >= 14 days before illness onset","1) No vaccination date or vaccination status available 2) receipt of vaccine before may 2022, 3) illness <= 13 days after vaccine dose","6605",6605,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,6329,NA,"1","6605","276",NA,NA,NA,NA,NA,"6329",NA,NA,NA,"OR",95,"VE","1","N","MVA-BN Rash Palmar","N","0.56000000000000005","0.4","0.67999999999999994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,160,"806",4140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=14 days after MVA-BN vaccine","36 vaccinated, 34 unvaccinated",NA,NA,NA,NA,NA,"34",NA,"35.299999999999997",NA,"36.9",NA,"36.9",NA,NA,NA,NA,NA,NA,NA,"6203, (402 missing)","259",5710,NA,NA,NA,NA,NA,NA,NA,NA,"64 vaccinated, 1,880 unvaccinated, 177 missing","33 vaccinated, 1,901 unvaccinated, 199 missing",NA,NA,"19/78, 137 unknown","1074/2585, 3,099 unknown",NA,NA,NA,NA,NA,NA,"3237","2/95 vaccinated, 237.3,142 unvaccinated",NA,NA,NA,NA,NA,NA,NA
"63","36580416","Farrar","MMWR",2022,"Severity","CDC","not noted","To assess differences in illness among vaccinated and unvaccinated persons with mpox","Cross Sectional","MVA-BN","PEP, vaccination prior to exposure","1","Subcutaneous and intradermal",NA,"May 22 - Sept 3 2022","USA","US population at risk for mpox"," Probable and confirmed mpox cases among persons with illness onset during May 22–September 3, 2022, in the 29 jurisdictions, vaccination >= 14 days before illness onset","1) No vaccination date or vaccination status available 2) receipt of vaccine before may 2022, 3) illness <= 13 days after vaccine dose","6605",6605,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,6329,NA,"1","6605","276",NA,NA,NA,NA,NA,"6329",NA,NA,NA,"OR",95,"VE","1","N","MVA-BN Chills","N","0.79","0.66999999999999993","0.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,193,"2015",5207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=14 days after MVA-BN vaccine","36 vaccinated, 34 unvaccinated",NA,NA,NA,NA,NA,"34",NA,"35.299999999999997",NA,"36.9",NA,"36.9",NA,NA,NA,NA,NA,NA,NA,"6203, (402 missing)","259",5710,NA,NA,NA,NA,NA,NA,NA,NA,"64 vaccinated, 1,880 unvaccinated, 177 missing","33 vaccinated, 1,901 unvaccinated, 199 missing",NA,NA,"19/78, 137 unknown","1074/2585, 3,099 unknown",NA,NA,NA,NA,NA,NA,"3237","2/95 vaccinated, 237.3,142 unvaccinated",NA,NA,NA,NA,NA,NA,NA
"64","36580416","Farrar","MMWR",2022,"Severity","CDC","not noted","To assess differences in illness among vaccinated and unvaccinated persons with mpox","Cross Sectional","MVA-BN","PEP, vaccination prior to exposure","1","Subcutaneous and intradermal",NA,"May 22 - Sept 3 2022","USA","US population at risk for mpox"," Probable and confirmed mpox cases among persons with illness onset during May 22–September 3, 2022, in the 29 jurisdictions, vaccination >= 14 days before illness onset","1) No vaccination date or vaccination status available 2) receipt of vaccine before may 2022, 3) illness <= 13 days after vaccine dose","6605",6605,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,6329,NA,"1","6605","276",NA,NA,NA,NA,NA,"6329",NA,NA,NA,"OR",95,"VE","1","N","MVA-BN Rash","N","0.27","-0.36708860759493678","0.65999999999999992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,202,"5173",5318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=14 days after MVA-BN vaccine","36 vaccinated, 34 unvaccinated",NA,NA,NA,NA,NA,"34",NA,"35.299999999999997",NA,"36.9",NA,"36.9",NA,NA,NA,NA,NA,NA,NA,"6203, (402 missing)","259",5710,NA,NA,NA,NA,NA,NA,NA,NA,"64 vaccinated, 1,880 unvaccinated, 177 missing","33 vaccinated, 1,901 unvaccinated, 199 missing",NA,NA,"19/78, 137 unknown","1074/2585, 3,099 unknown",NA,NA,NA,NA,NA,NA,"3237","2/95 vaccinated, 237.3,142 unvaccinated",NA,NA,NA,NA,NA,NA,NA
"65","36580416","Farrar","MMWR",2022,"Severity","CDC","not noted","To assess differences in illness among vaccinated and unvaccinated persons with mpox","Cross Sectional","MVA-BN","PEP, vaccination prior to exposure","1","Subcutaneous and intradermal",NA,"May 22 - Sept 3 2022","USA","US population at risk for mpox"," Probable and confirmed mpox cases among persons with illness onset during May 22–September 3, 2022, in the 29 jurisdictions, vaccination >= 14 days before illness onset","1) No vaccination date or vaccination status available 2) receipt of vaccine before may 2022, 3) illness <= 13 days after vaccine dose","6605",6605,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,6329,NA,"1","6605","276",NA,NA,NA,NA,NA,"6329",NA,NA,NA,"OR",95,"VE","1","N","MVA-BN Rash Arms","N","0.82000000000000006","0.72","0.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,160,"1860",4140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=14 days after MVA-BN vaccine","36 vaccinated, 34 unvaccinated",NA,NA,NA,NA,NA,"34",NA,"35.299999999999997",NA,"36.9",NA,"36.9",NA,NA,NA,NA,NA,NA,NA,"6203, (402 missing)","259",5710,NA,NA,NA,NA,NA,NA,NA,NA,"64 vaccinated, 1,880 unvaccinated, 177 missing","33 vaccinated, 1,901 unvaccinated, 199 missing",NA,NA,"19/78, 137 unknown","1074/2585, 3,099 unknown",NA,NA,NA,NA,NA,NA,"3237","2/95 vaccinated, 237.3,142 unvaccinated",NA,NA,NA,NA,NA,NA,NA
"66","36580416","Farrar","MMWR",2022,"Severity","CDC","not noted","To assess differences in illness among vaccinated and unvaccinated persons with mpox","Cross Sectional","MVA-BN","PEP, vaccination prior to exposure","1","Subcutaneous and intradermal",NA,"May 22 - Sept 3 2022","USA","US population at risk for mpox"," Probable and confirmed mpox cases among persons with illness onset during May 22–September 3, 2022, in the 29 jurisdictions, vaccination >= 14 days before illness onset","1) No vaccination date or vaccination status available 2) receipt of vaccine before may 2022, 3) illness <= 13 days after vaccine dose","6605",6605,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,6329,NA,"1","6605","276",NA,NA,NA,NA,NA,"6329",NA,NA,NA,"OR",95,"VE","1","N","MVA-BN Rash Genitals","N","-0.2857142857142857","-0.47916666666666663","-1.9607843137254943E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,160,"1933",4140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=14 days after MVA-BN vaccine","36 vaccinated, 34 unvaccinated",NA,NA,NA,NA,NA,"34",NA,"35.299999999999997",NA,"36.9",NA,"36.9",NA,NA,NA,NA,NA,NA,NA,"6203, (402 missing)","259",5710,NA,NA,NA,NA,NA,NA,NA,NA,"64 vaccinated, 1,880 unvaccinated, 177 missing","33 vaccinated, 1,901 unvaccinated, 199 missing",NA,NA,"19/78, 137 unknown","1074/2585, 3,099 unknown",NA,NA,NA,NA,NA,NA,"3237","2/95 vaccinated, 237.3,142 unvaccinated",NA,NA,NA,NA,NA,NA,NA
