"Effect.Measure.v.descriptive","PMID","First.Author","Published","Year.Published","Include.area","Study.Funding.source.s.","Possible.Conflict.of.interest.for.study.authors","Study.purpose","Study.type","Vaccine.type","Vaccine.strategy","Number.doses.MVA.BN","Subcutaneous.or.intradermal.MVA.BN","Intervention.status","Dates.of.Outbreak","Country.of.outbreak","Population.description","Inclusion.Criteria","Exclusion.Criteria","Total.cohort.size.or.close.contact.pool","Case.report.forms.Complete.information..n.","Total.Cases.in.case.control","Total.control.in.case.control","loss.to.follow.up","Total.number.vaccinated.people","Historic.smallpox","PEP.or...14.days.after.1.dose","..1.dose.MVA.BN.vaccine.or.partially.vaccinated","..2.dose.MVA.BN.vaccine.or.fully.vaccinated","Subcutaneous","Intradermal","heterologous","Total.number.unvaccinated.people","unknown.vaccine.status","Episodes.outbreaks","Total.mpox.Cases","Total.vaccinated.mpox.cases","Total.vaccinated.mpox.historic.1st.gen.cases","Total.vaccinated.mpox.historic.2nd.gen.cases","Total.vaccinated.mpox.PEP.cases","Total.vaccinated.mpox.non.PEP.1.dose.cases","Total.vaccinated.mpox.2.dose","Total.unvaccinated.mpox.cases","Total.vaccinated.mpox.controls","Total.unvaccinated.mpox.controls","Notes.N","Measure..HR..IRR..RR..cumulative.incidence..attack.rate.etc.","..95..CI...67","Effect.measure","Dose","Adjusted","VE.type","Sensitivity","VE.outcome","Lower.CI","Upper.CI","Central.Effect.Estimate.reported","Effect.Est.lower.95.CI","Effect.Est.upper.95.CI","Regression.Coefficient","Regression.Coefficient.lower.95..CI","Regression.Coefficient.upper.95..CI","Vaccinated.secondary.cases","Unvaccinated.secondary.cases","Vaccinated.Contacts","Unvaccinated.Contacts","Vaccinated.or.cases.event","n.vaccinated.or.cases","unvaccinated..or.controls.event","n.unvaccinated.or.controls","unknown.or.missing.event.vaccinated","unknown.or.missing.total.n","Person.days.vaccinated","events.vaccinated","Person.days.unvaccinated","events.unvaccinated","crude.VE","..95..CI...97","Mean.vaccinated","sd.vaccinated","Mean.unvaccinated","sd.unvaccinated","Median.vaccinated","Lower.IQR.vaccinated","Upper.IQR.vaccinated","Median.unvaccinated","Lower.IQR.unvaccinated","Upper.IQR.unvaccinated","Controlled.for","Timing.of.measure","Cohort.Age...median.or.description.","Cohort.IQR.Age.lower","Cohort.IQR.Age.higher","Cohort.age.mean","Cohort.age.sd","Cohort.vaccinated.age.median","Cohort.unvaccinated.age.median","Cohort.unvaccinated.age.IQR","Cohort.unvaccinated.age.mean","Cohort.unvaccinated.age.sd","Cohort.age.unvaccinated..median","Cohort.age.unvaccinated.IQR","Cohort.age.vaccinated..mean","Cohort.age.vaccinated.sd","Monkeypox.cases.Age...median.","Monkeypox.cases.IQR.Age.lower","Monkeypox.cases.IQR.Age.higher","Monkeypox.controls.Age...median.","Monkeypox.controls.IQR.Age.lower","Monkeypox.controls.IQR.Age.higher","Cohort.cis.male.n","vaccinated..Male.n","unvaccinated..Male.n","cohort.MSM.n","vaccinated..MSM.n","unvaccinated.MSM.n","Monkeypox.cases.vaccinated.MSM.n","Monkeypox.cases.unvaccinated.MSM.n","Monkeypox.cases.vaccinated.non.MSM.n","Monkeypox.cases.unvaccinated.non.MSM.n","n.Non.Hispanic.White","Hispanic.Latino.n","Black.n....presumed","n.Known.HIV.status","n.HIV.positive","n.HIV.positive.vaccinated","n.HIV.positive.unvaccinated","n.CD4..200","n.VL...200","n.VL..50","n.PrEP.users","n.PrEP.users.vaccinated","n.PrEP.users.unvaccinated","n.Known.Hospital.status","n.Hospitalized","n.Hospitalized.vaccinated","n.Hospitalized.unvaccinated","n.not.hospitalized.vaccinated","n.not.hospitalized.unvaccinated","Limitations","...682","Internal.notes.for.coding"
"171","36201401","Payne (a)","MMWR",2022,"Infection","none","none","Examine the incidence of monkeypox among persons who were unvaccinated and those who had received ≥1 JYNNEOS vaccine dose,","Retrospective cohort","MVA-BN","Vaccination prior to exposure","1,2","subcutaneous and intradermal","patient interview or link cases with vaccination data","July 31–Sept 3, 2022","USA","men 18-49 either MSM living with HIV acquired through male sexual contact and or injection drug use or eligible for HIV-PrEP","aggregate weekly numbers of confirmed and probable mpox cases ages 18-49 in 32 jurisdictions","smallpox vaccination in childhood (excluded by age)","5402",5402,NA,NA,NA,796,NA,NA,NA,NA,NA,NA,NA,4606,NA,"1","5404","796",NA,NA,69,142,12,"4606",NA,NA,"(450 with unknown vaccination date, 346 with known vaccination date, 269 illness within 0-13 days after first day, 77 >= 14 days after first dose, 65 before second dose, 10 0-13 after 2nd dose, 2 >= 14 after second dose)","IRR",95,"VE","1","Y","1 dose MVA-BN","N","0.93006993006993011","0.8","0.97560975609756095","6.9930069930069921E-2","2.4390243902439025E-2","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"week of case",">= 14 days after first vaccine","cohort of 18-48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","36480479","Payne (b)","MMWR",2022,"Infection","CDC","none","Quantify move-bn vaccine effectiveness 1 and 2 doses  against mpox infection","cross-sectional study, surveillance","MVA-BN","Vaccination prior to exposure","1,2","subcutaneous and intradermal","immunization registry and interviews, The total number of persons vaccinated as of 2 weeks before the end date of a week divided by the estimated vaccine-eligible population aged 18–49 years","July 31- Oct 1 2022","USA","men 18-49 either MSM living with HIV acquired through male sexual contact and or injection drug use or eligible for HIV-PrEP","aggregate weekly numbers of confirmed and probable mpox cases ages 18-49 in 43 jurisdictions with illness onset July 31 to September 3, 2022","incomplete records (possible vaccinated but without dose number or dose date) and vccinated before 2022","11581",9544,NA,NA,NA,1124,NA,NA,NA,NA,NA,NA,NA,8320,NA,"1","9544","1224",NA,NA,614,687,97,"8320",NA,NA,"(inc. 218 unknown vaccine date,. 614 0-13 days after dose 1, 392 >= 14 days after dose 1, 295 before dose 2, 49 0-13 days after dose 2, 48 >= 14 days after dose 2)","IRR",95,"VE","1","Y","1 dose MVA-BN","N","0.86486486486486491","0.83333333333333337","0.89010989010989006","0.13513513513513511","0.10989010989010989","0.16666666666666666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"week of case",">= 14 days after first vaccine","cohort of 18-49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9544","1224",8320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linkage of mpox case surveillance and vaccination administration data might have resulted in misclassifications (report assumes that persons with unknown vaccination status were unvaccinated); could not control for differences in testing/behaviors that affect risk for virus exposure or possible differences in risk of infection because of patient characteristics; temporality of exposures that result in infection is now known; confirmation that all identified persons with mpox were members of population eligible for vaccination were not possible; considering persons vaccinated as of 2 weeks before end date of surveillance week could overestimate number of persons vaccinated each week",NA,NA
"491","36477495","Thy","NEJM",2022,"Infection","none","none","describe the outcomes of high-risk contacts receiving third-generation smallpox vaccine as an early postexposure ring vaccination (EPRV) especially tolerance and potential breakthrough infections after the first dose.","Prospective cohort","Historic smallpox vaccine, MVA-BN","PEP","1","Subcutaneous","vaccine given","May 27 - July 13, 2022","France","high risk mpox exposure, France","consecutive patients of 3rd gen MVA-BN after high risk exposure",NA,"276",276,NA,NA,NA,276,30,276,NA,NA,276,NA,NA,0,NA,"1","12","12",30,NA,276,NA,NA,"0",NA,NA,NA,"OR",96,"VE","2","N","MVA-BN PEP","N","-0.71729187098218739","-0.91786042844000526","0.12949840000000001","3.5372170000000001","0.87050159999999999","12.1744",NA,NA,NA,NA,NA,NA,NA,4,12,"33",264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","14","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","15.8",26.8,NA,NA,NA,"250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38","38","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","36082686","Vaughan","Eurosurveillance",2022,"Severity","ECDC","none","describe epidemiology of MPX and severity based on  prior vaccination in all cases on WHO European region","Retrospective cohort","Historic smallpox vaccine, MVA-BN","Vaccination prior to exposure, PEP",NA,"unclear","unclear (reported to TESSYy)","March 7 - Aug 23, 2022","European region",NA,"reported to TESSY as MPOX cases","none stated","20960",3502,NA,NA,NA,575,528,46,5,NA,NA,NA,NA,17458,NA,"1","3502","528",NA,NA,NA,NA,NA,"2974",NA,NA,"(table 3 for prior smallpox) , 528 before outbreak, 1 PrEP, 42 PEP++, 4 PrEP/PEP++, vaccination 3017+2974 for prior to event","Firth logistic regression, OR,",NA,"VE","1","Y","Any vaccine hospitalized","N","-6.5420560747663559E-2","-0.49238578680203049","0.47","1.07","0.53","1.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age and hospitalization",NA,"37","31","44",NA,NA,"vaccination broken down by age bracket, 0-17 0 vaccinated, 10 unvaccinated, 18-30 49 vaccinated, 817 unvaccinated, 31-40 94 vaccinated 1,298 unvaccinated,  41-50 130 vaccinated, 680 unvaccinated, 51-60 189 vacciant3d, 132 unvaccinated, >60 62 vaccinated, 27 unvaccinated. all adjusted OR not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17685/17896",NA,NA,"8771/9053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3070/8257",NA,NA,NA,NA,NA,NA,NA,NA,"3359 (143 unknown)","106","12","94","495","2758",NA,NA,NA
"223","36720271","Wolff-Sagy","Nature Medicine",2023,"Infection","none","none","assess the effectiveness of providing one dose of the mva-bn vaccine in a real-world at-risk population as assess by laboratory confirmed RT-PCR tests","Retrospective cohort","MVA-BN","Vaccination prior to exposure, PEP","1","Subcutaneous","from electronic medical record of CHS (Clalit Health Services), largest of the integrated health organizations in Israel","July 31- Dec 25, 2022","Israel","Men 18-42 eligible for mpox vaccination at large integrated healthcare organization, Israel","males ages 18-42 who were either given HIV-PrEP for at least 1 month since 1 January 2022 or diagnosed with HIV and one or more STIs since 1 January 2022","Infection with mpox prior to study period","2054",2054,NA,NA,NA,1037,NA,NA,1037,NA,1037,NA,NA,1017,NA,"1","21","5",NA,NA,NA,NA,NA,"16",NA,NA,NA,"HR (univariate and multivariate)",95,"HR","1","Y","1 dose MVA-BN","N","0.86","0.59000000000000008","0.95","0.14000000000000001","0.05","0.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tel Aviv district, Chlamydia or Ne gonorrhea recent urine PCR, recent syphilis infection","minimum of 90 days of follow up",NA,NA,NA,"33.799999999999997","5.4",NA,NA,NA,"33.5","5.8",NA,NA,"34.1","4.9000000000000004",NA,NA,NA,NA,NA,NA,"2054","1037",1017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"647 (31.5%)","136 (13.1%)","551 (50.2%)",NA,NA,NA,"1382","876","506",NA,NA,NA,NA,NA,NA,NA,NA,"(listed as Zucker in COVIDNECE, was Arbel pre-print),"
"227","NA","Ghosn","CROI conference abstract https://www.croiconference.org/abstract/impact-of-vaccination-on-mpox-incidence-in-msm-on-prep-in-the-anrs-174-doxyvac-trial/",2023,"Infection","unknown","unknown","impact of MVA-BN vacation on MSM on PrEP and smallpox childhood vaccination participating in a clinical trial","Randomized control trial with nested case control and prospective cohort","Historic smallpox vaccine, MVA-BN","Vaccination prior to exposure, PEP","not stated","not clear","unclear","May 9 - Sept 20, 2022","France","MSM on PrEP with STI in past year clinical trial","unclear","unclear","546",472,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRR",95,"VE","1","Y","Smallpox Childhood","N","0.13900000000000001","-0.65229485396383868","0.74199999999999999","0.86099999999999999","0.25800000000000001","2.8759999999999999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"small sample size, lack of data for all 546 participants.",NA,NA
"Descriptive","37044128","Faherty","EID",2023,"Infection","none noted","none noted","describe persons with mpox who attended market Days festival in Chicago, Illinois USA Aug 6-7 2022","prospective and retrospective cohort","MVA-BN","PEP, vaccination prior to exposure","1","presumably Subcutaneous","interview","July 16-Aug 28, 2022","USA","Attendees of Chicago Market days 2022","attendance of MD by mpox case-patient",NA,"40",40,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,25,NA,"1","40","15",NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,"MVA-BN descriptive behavior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"symptoms 21 days before or after MD days","31","27.3","35.799999999999997",NA,NA,"32 (29-35.5)","30 (25.5-35.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39","15",24,"28","11","17",NA,NA,NA,NA,"18 (8 vaccinated, 10 unvaccinated)","13 ( 5 vaccinated, 8 unvaccinated)","9 (2 unvaccinated, 7 vaccinated)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Descriptive","36178700","Hazra","JAMA",2022,"Severity","none noted","none","describe mpox infections after single dose of MVA-BN among largest mpox testing and vaccination site in the US-Midwest","Retrospective cohort","MVA-BN","Vaccination prior to exposure, PEP","1","not stated, Subcutaneous and intradermal  presumably based on timing",NA,"June 28 - Sep 9, 2022","USA","US Midwest patients who received 1 dose of MVA-BN and tested positive for mpox","patients who tested positive for mpox at least 1 day after first dose of MVA-BN from June 28, 2022 to September 9 2022","none","90",90,NA,NA,NA,90,NA,NA,90,NA,NA,NA,NA,0,NA,"1","90","90",NA,NA,NA,90,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,"MVA-BN timing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33","29","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","82",NA,NA,NA,NA,NA,NA,NA,NA,"33","24","19","90 (assumed)","34","34","0","0",9,NA,"32","32","0",NA,NA,NA,NA,NA,NA,"small sample size, single site, postvaccination observation period was not uniform throughout the cohort",NA,NA
"230","37120092","Jamard","Infectious Diseases Now",2023,"Severity","none","none","describe case of mpox after January 27 2023 in Loire, France","Outbreak Investigation","MVA-BN","Vaccination prior to exposure","1,2","subcutaneous and intradermal",NA,"Jan  – March 2023","France","at risk for mpox in Loire valley, France","confirmed PCR + mpox at University of Tours, France",NA,"15",15,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,6,NA,"1","15","9",5,NA,NA,9,NA,"6",NA,NA,"(9 with MVA-BN, of these 5/9 also received first generation vaccine before 1984)","OR",95,"VE",NA,"N","Any vaccine - Rash","N","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,"6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40","33.5","49.5",NA,NA,"48 (36-51)","35.5 (32.5-40.75)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all cases associated with confirmed mpox cases or unsafe sex with multiple partners","9",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1","3","0",NA,NA,"10","7 of 8","3 of 3",NA,NA,NA,NA,NA,NA,NA,NA,"Facial rash and oropharyngeal rash lumped together, just put under facial rash here, trunk and limbs lumped together put under trunk here"
"239","36992376","Candela","Viruses",2023,"Severity","none","none","describe demographical data, symptoms presentation and clinical course until outcome of individuals diagnosed with mpox, from May to October 2022, in IRCCS San Raffaele Hospital in Milan, Italy","Retrospective cohort","Historic smallpox vaccine, MVA-BN","Vaccination prior to exposure, PEP",NA,"not noted","unclear","May 25, 2022- Oct 10, 2022","Italy","People who accessed Sexual Health Clinic in IRCCs San Raffaele Hospital, Milan Italy between May and October 2022","Positive by RT-PCR","not listed","140",140,NA,NA,NA,23,20,NA,1,NA,NA,NA,NA,120,NA,"1","140","20",NA,NA,NA,NA,NA,"120",NA,NA,NA,"OR",95,"VE","NA","N","Any vaccine hospitalized","N","-7.4213000000000084E-2","-0.86601595080105709","0.96081293000000001","1.0742130000000001","3.9187069999999997E-2","7.4635749999999996",NA,NA,NA,NA,NA,NA,NA,1,23,"5",112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",NA,"37","33","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"137",NA,NA,"134",NA,NA,"22","1",NA,NA,NA,NA,NA,NA,"66",NA,NA,NA,NA,NA,"43",NA,NA,NA,NA,"1 (unclear if Dryvax vs MVA-BN)","5","22","112",NA,NA,NA
"241","37783731","Agustí","Nature Communications",2023,"Infection","Ministry of Health of Government of Catalonia (Spain), Grifols,
Pharma Mar, HIPRA, Amassence and Palobiofarm","none","(i) assess the prevalence of MPXV infection among highly exposed GBMSM and trans women asymptomatic or with mild unrecognized Mpox symptoms, who were recruited in a community-based center in Barcelona, (ii) to assess the presence of replication-competent particles of MPXV and (iii) to evaluate the feasibility and acceptability of a community-based self sampling strategy for Mpox diagnosis.","Cohort study","Historic smallpox vaccine, MVA-BN","Vaccination prior to exposure",NA,NA,"self-report","Aug-Oct 2022","Spain","GBMSM and TW at HIV community center in Spain","GBMSM or TW, over 18 years old, no symptoms of MPXV infection and considered high risk of contracting Mpox (High risk was defined as: GBMSM and TW who are sex workers and/or chemsex users and/or who practice group ex and/or are HIV positive or are PrEP users.)","none","113",113,7,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,75,NA,"1","20","1",7,NA,13,NA,NA,"4",NA,75,NA,"OR",95,"VE",NA,"N","Smallpox Childhood",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,"4",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","30","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89",NA,NA,"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"105","44",NA,NA,NA,NA,NA,"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","37676838","Schildhauer","MMWR",2023,"Severity","None noted","U.S. Guidelines for the Prevention and Treatment of Opportunistic Infections in Adults and Adolescents with HIV, Board of Directors National Alliance for State and territorial AIDS Directors","determine risk of mpox-associated hospitalization by MVA-BN status","Retrospective cohort","MVA-BN","Vaccination prior to exposure, PEP","1,2","unclear","interview","May 12, 2022- May 18, 2023","USA","California residents at risk for mpox","California residents with laboratory confirmed mpox with hospital information","hospitalization status missing or unknown,","5765",4611,4611,NA,NA,769,NA,457,233,79,NA,NA,NA,3845,NA,"1","4614","769",NA,NA,NA,NA,NA,"3845",NA,NA,NA,"OR",95,"VE","1","N","MVA-BN 1 dose hospitalized","N","0.73","0.35","0.92","0.27","0.08","0.65",NA,NA,NA,NA,NA,NA,NA,4,230,"233",3845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35 (25-48)",NA,NA,NA,NA,"1 dose 35 (22-48), 2 doses 36 (24,5-47.5), PEP 38 (24-52","35 (21-49)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,353 ","223 1 dose, 77 2 dose, 443 PEP, 3,610 unvaccinated",3610,"3188","189 1 dose, 69 2 dose, 375 PEP,","2555",NA,NA,NA,NA,"1329","2083","590","4611","1878","81 1 dose, 19 2 doses, 193 PEP","1585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","37678309","Hazra","Lancet Infectious Diseases",2024,"Severity","None","None","describe demographics of breakthrough vaccine cases or after prior infection","Case series","MVA-BN","Vaccination prior to exposure","2","subcutaneous or intradermal ( 14.30 2x subcutaneous, 8 subcutaneous/ID, 8 ID, ID)","Electronic health record","May 11 - Jan 30, 2022","International","at risk for mpox in 2022 outbreak","confirmed case of mpox after past infection by PCR positive, or confirmed case PCR positive from any anatomic site 14 days after 2 doses of vaccination","could not confirm vaccination status, partial immunization or received doses before May 1, 2022","37",37,30,8,NA,30,NA,NA,NA,NA,NA,NA,NA,8,NA,"1","37","30",NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,95,"VE","2","N","MVA-BN vesicuo pustular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,30,"3",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36","30","34",NA,NA,"37 (30-45)","35 ( 31-37)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37","30",8,"36","29","8",NA,NA,NA,NA,"28 (5 prior infection, 24 vaccination)","4 (3 prior infection, 1 vaccination)","2 (2 prior vaccination)",NA,"8","3","5","median most recent CD5 555 (IQ 363-979) overall, 452 (296-852 unvaccinated) and 925 (662-1244) vaccinated",NA,"8","24","22","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","37769158","Brousseau","Clinical Infectious Diseases",2023,"Infection, Severity","Ministere de la Sante et des Services sociaux du Quebec","No","estimate VE of subcutaneous single-dose MVA-BN against symptomatic mpox including moderate to severe disease","Test negative case-control","MVA-BN","Vaccination prior to exposure","1","Subcutaneous","Several administrative and surveillance databases inc. mpox provincial immunization registry linked by Quebec unique health insurance number","Jun 19-Sept 24 2022","Canada","men over 18 high risk for mpox in Montreal","over 18 years old, specimens in high area of mpox in Montreal","women, positive before study period, specimens from non-skin lesions, asymptomatic, living outside the province, received 1 MVA-BN dose <14 days or 2doses at any time before specimen collection.","532",532,231,301,NA,161,NA,NA,NA,NA,NA,NA,NA,371,NA,"1","231","59",NA,NA,NA,NA,NA,"172",102,199,NA,"OR",95,"VE","1","Y","MVA-BN 1 dose Infection All-Admin","N","0.35","-0.02","0.59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age, calendar time, STI tests and diagnosis, HIV status",NA,"broken in 18-29, 30-49, >=51",NA,NA,NA,NA,"Cases: 18-29 50, 30-49 143, >=51 38;  Contro: 18-29 90, 30-49 146, >=51 65;",NA,NA,NA,NA,NA,NA,NA,NA,"22% 18-29, 62% 30-49, 16%>=50",NA,NA,"30% 18-29, 49% 30-49, >=50 16%",NA,NA,"523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"231","3","(1 ""moderate to severe vaccinated)","(11""moderate to severe unvaccinated"")",NA,NA,NA,NA,NA
"279","37318762","Morales","Eurosurveillance",2023,"Infection","None noted","None","assess PEP VE in early 2022 outbreak","Dynamic prospective cohort","MVA-BN","PEP","1","Subcutaneous","Administer MVA-BN in clinic after epidemiologic investigation of contacts of known cases","May - Aug 2022","Spain","contacts of known mpox cases in Spain, early 2022","Close contacts of known confirmed symptomatic mpox cases via contact with body fluids or lesions, contacted fomites or clinical samples without PPE a","index case could not be laboratory confirmed, contact with compatible mpox symptoms and etiology could not be confirmed, date of risk of contact not established or risk of exposure during follow up outside the home","491",484,NA,NA,NA,230,NA,NA,NA,NA,NA,NA,NA,254,NA,"1","57","8",NA,NA,NA,NA,NA,"49",NA,NA,NA,"HR",95,"VE","1","Y","1 dose MVA-BN PEP","N","0.88800000000000001","0.76","0.94699999999999995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6099,8,5774,49,0.844,".664-.928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35 (31-40)","34 (30-38)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","40",NA,NA,NA,NA,NA,NA,"25","4","21",NA,NA,NA,"10 (0 vaccinated, 10 unvaccinated)",NA,NA,NA,"1","0","1",NA,NA,NA,NA,NA
"314","37347713","Faherty","MMWR",2023,"Severity","None noted","Water Environment Federation","determine cluster of vaccinated cases of mpox scope and commonalities of MVA-BN vaccine",NA,"2 doses MVA-BN,1 dose ACAM200","vaccination prior to exposure","1 or 2","Subcutaneous or intradermal","not stated","March 18-June 12 , 2023","USA","cases reported during time periods to Chicago DPH","laboratory confirmed mpox case in Chicago","none","40",40,NA,NA,NA,22,NA,NA,NA,1,8,1,7,18,NA,"1","40","22",NA,1,NA,NA,16,"18",NA,NA,"vaccinated defined as 2 dose MVA-Bn or ACAM 2000, unvaccinated 1 dose or none",NA,NA,NA,NA,"N","MVA-BN 2 doses/ACAM 2000 vs MVA-BN 1 dose or no vaccine affecting genitals","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,22,"7.74",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34 (31-40)",NA,NA,NA,NA,"30.5","(28-38)",NA,NA,NA,NA,NA,NA,NA,NA,"37","20",17,NA,NA,NA,NA,NA,NA,NA,"19 (13 vaccinated, 6 under vaccinated)","8 (4 and 4)","7 (1 and 6)",NA,"11","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
